Model,Horizon,Date,RankIC,N_Assets
NBEATS-Emb-8,5,2025-08-12,-0.4097445212703621,160
NBEATS-Emb-8,5,2025-09-10,-0.0063195827962029775,160
NBEATS-Emb-8,5,2025-10-09,0.08079221844603304,160
NBEATS-Emb-8,5,2025-11-07,0.08369858197585843,160
NBEATS-Emb-8,5,2025-12-08,0.08487929215984999,160
NBEATS-Emb-8,5,2026-01-06,0.12145786944802531,160
NBEATS-Emb-8,5,2026-02-04,-0.10675319348412046,160
NBEATS-Emb-8,5,2026-03-05,-0.005888901910230868,160
NBEATS-Emb-8,5,2026-04-03,0.19698816360014063,160
NBEATS-NoEmb,1,2024-11-20,0.10854623227469823,160
NBEATS-NoEmb,1,2024-12-19,-0.001013711473104418,160
NBEATS-NoEmb,1,2025-01-17,0.12373851983087877,160
NBEATS-NoEmb,1,2025-02-17,0.15566037735849053,160
NBEATS-NoEmb,1,2025-03-18,-0.027065510371498885,160
NBEATS-NoEmb,1,2025-04-16,0.046929567561232864,160
NBEATS-NoEmb,1,2025-05-15,0.034568733153638814,160
NBEATS-NoEmb,1,2025-06-13,-0.23881694597445213,160
NBEATS-NoEmb,1,2025-07-14,0.3389224188444861,160
NBEATS-NoEmb,1,2025-08-12,-0.08736376420953945,160
NBEATS-NoEmb,1,2025-09-10,-0.05393179421071135,160
NBEATS-NoEmb,1,2025-10-09,0.14855560764092346,160
NBEATS-NoEmb,1,2025-11-07,0.11462557131137933,160
NBEATS-NoEmb,1,2025-12-08,0.11967947966717449,160
NBEATS-NoEmb,1,2026-01-06,0.01801242236024845,160
NBEATS-NoEmb,1,2026-02-04,0.2532345013477089,160
NBEATS-NoEmb,1,2026-03-05,-0.005156451423883746,160
NBEATS-NoEmb,1,2026-04-03,-0.013594281026602602,160
NBEATS-NoEmb,5,2024-11-20,0.09432790343372788,160
NBEATS-NoEmb,5,2024-12-19,0.09863471229344897,160
NBEATS-NoEmb,5,2025-01-17,0.18121996953005975,160
NBEATS-NoEmb,5,2025-02-17,0.010992616899097621,160
NBEATS-NoEmb,5,2025-03-18,0.15085550216805343,160
NBEATS-NoEmb,5,2025-04-16,0.2031319582796203,160
NBEATS-NoEmb,5,2025-05-15,0.26294972459861715,160
